time	V(cap)	V(source)
2.090663392818249e-04	-9.804707e-01	5.400183e+00
2.102521651746820e-04	-9.023890e-01	6.006933e+00
2.114379910675392e-04	-8.184914e-01	6.578948e+00
2.126238169603963e-04	-7.287778e-01	7.116230e+00
2.138096428532534e-04	-6.332483e-01	7.618778e+00
2.149954687461106e-04	-5.319029e-01	8.086593e+00
2.164603124961106e-04	-4.028115e-01	8.592678e+00
2.179251562461106e-04	-2.687637e-01	9.026024e+00
2.193899999961106e-04	-1.309168e-01	9.382963e+00
2.203665624961106e-04	-3.749432e-02	9.576955e+00
2.208548437461106e-04	9.540305e-03	9.660474e+00
2.213431249961106e-04	5.684389e-02	9.735021e+00
2.218314062461106e-04	1.041445e-01	9.800278e+00
2.223196874961106e-04	1.514420e-01	9.856245e+00
2.228079687461106e-04	1.987365e-01	9.902922e+00
2.232962499961106e-04	2.460280e-01	9.940309e+00
2.237845312461106e-04	2.933165e-01	9.968406e+00
2.242728124961106e-04	3.406020e-01	9.987213e+00
2.253191294603963e-04	4.421421e-01	9.994546e+00
2.263654464246820e-04	5.414320e-01	9.959616e+00
2.274117633889677e-04	6.384719e-01	9.882422e+00
2.284580803532534e-04	7.332616e-01	9.762964e+00
2.295043973175392e-04	8.258012e-01	9.601243e+00
2.305507142818249e-04	9.160907e-01	9.397258e+00
2.315970312461106e-04	1.004130e+00	9.151010e+00
2.329223660675392e-04	1.110562e+00	8.775500e+00
2.342477008889677e-04	1.208801e+00	8.347659e+00
2.355730357103963e-04	1.298849e+00	7.867486e+00
2.368983705318249e-04	1.380706e+00	7.334980e+00
2.382237053532535e-04	1.454371e+00	6.750142e+00
2.395490401746820e-04	1.519844e+00	6.112972e+00
2.408743749961106e-04	1.577125e+00	5.423469e+00
2.416416741032535e-04	1.605074e+00	5.009869e+00
2.424089732103963e-04	1.629500e+00	4.587145e+00
2.431762723175392e-04	1.650401e+00	4.155297e+00
2.439435714246820e-04	1.667779e+00	3.714326e+00
2.447108705318249e-04	1.681633e+00	3.264231e+00
2.454781696389677e-04	1.691963e+00	2.805013e+00
2.462454687461106e-04	1.698769e+00	2.336672e+00
2.472220312461106e-04	1.702052e+00	1.736191e+00
2.476405580318249e-04	1.701648e+00	1.476257e+00
2.480590848175391e-04	1.700164e+00	1.215754e+00
2.484776116032534e-04	1.697599e+00	9.546807e-01
2.488961383889677e-04	1.693955e+00	6.930385e-01
2.493146651746820e-04	1.689229e+00	4.308270e-01
2.497331919603963e-04	1.683424e+00	1.680463e-01
2.501517187461106e-04	1.676538e+00	-9.530382e-02
2.507097544603963e-04	1.665657e+00	-4.467682e-01
2.512677901746820e-04	1.652931e+00	-7.966141e-01
2.518258258889677e-04	1.638362e+00	-1.144842e+00
2.523838616032534e-04	1.621947e+00	-1.491451e+00
2.529418973175391e-04	1.603689e+00	-1.836441e+00
2.534999330318249e-04	1.583585e+00	-2.179814e+00
2.540579687461106e-04	1.561638e+00	-2.521567e+00
2.551740401746820e-04	1.511785e+00	-3.200890e+00
2.562901116032534e-04	1.455870e+00	-3.856760e+00
2.574061830318249e-04	1.393892e+00	-4.489177e+00
2.585222544603963e-04	1.325851e+00	-5.098142e+00
2.596383258889677e-04	1.251748e+00	-5.683654e+00
2.607543973175391e-04	1.171581e+00	-6.245713e+00
2.618704687461106e-04	1.085352e+00	-6.784320e+00
2.629167857103963e-04	9.999882e-01	-7.256226e+00
2.639631026746821e-04	9.117764e-01	-7.692524e+00
2.650094196389677e-04	8.207166e-01	-8.093215e+00
2.660557366032534e-04	7.268088e-01	-8.458298e+00
2.671020535675391e-04	6.300531e-01	-8.787773e+00
2.681483705318249e-04	5.304494e-01	-9.081641e+00
2.691946874961106e-04	4.279978e-01	-9.339901e+00
2.697527232103963e-04	3.731396e-01	-9.459456e+00
2.703107589246821e-04	3.181224e-01	-9.567095e+00
2.708687946389678e-04	2.629462e-01	-9.662819e+00
2.714268303532535e-04	2.076109e-01	-9.746628e+00
2.719848660675392e-04	1.521165e-01	-9.818521e+00
2.725429017818249e-04	9.646313e-02	-9.878498e+00
2.731009374961106e-04	4.065068e-02	-9.926559e+00
2.735892187461106e-04	-7.976346e-03	-9.958395e+00
2.745657812461106e-04	-1.048713e-01	-9.993927e+00
2.760306249961106e-04	-2.486406e-01	-9.976692e+00
2.770071874961106e-04	-3.437470e-01	-9.916811e+00
2.779837499961106e-04	-4.363497e-01	-9.820909e+00
2.789603124961106e-04	-5.264490e-01	-9.688985e+00
2.799368749961106e-04	-6.140446e-01	-9.521040e+00
2.809134374961106e-04	-6.991368e-01	-9.317074e+00
2.818899999961106e-04	-7.817254e-01	-9.077087e+00
2.828665624961106e-04	-8.618104e-01	-8.801078e+00
2.841221428532535e-04	-9.596148e-01	-8.391747e+00
2.853777232103963e-04	-1.049633e+00	-7.938085e+00
