w,G1,P1,G2,P2,G,P
4.247571552536898665e+00,3.893551865564246484e+00,1.324782300576459626e+01,1.840822720791336353e+00,-2.301370571288274647e+01,7.167338738710158808e+00,-9.765882707118148431e+00
4.448782831127584991e+00,3.902622323042132191e+00,1.266841705440786825e+01,1.827328754959766544e+00,-2.398324261248584222e+01,7.131373990642770444e+00,-1.131482555807797574e+01
4.659525668664682208e+00,3.910946323029090621e+00,1.211274603596462640e+01,1.812862060430360245e+00,-2.498328627961041448e+01,7.090006209399057013e+00,-1.287054024364578808e+01
4.880251583654430902e+00,3.918580980524058344e+00,1.158003831110324100e+01,1.797380850989963141e+00,-2.601354011747740458e+01,7.043182417447416022e+00,-1.443350180637416180e+01
5.111433483440167791e+00,3.925579747124559926e+00,1.106952163774590936e+01,1.780846098781183828e+00,-2.707354470249887868e+01,6.990853378121198780e+00,-1.600402306475296754e+01
5.353566677410724672e+00,3.931992526814890088e+00,1.058042709904752776e+01,1.763222344919950224e+00,-2.816266686746553205e+01,6.932977083338268010e+00,-1.758223976841800251e+01
5.607169938205458060e+00,3.937865810813254708e+00,1.011199248042900578e+01,1.744478552727632081e+00,-2.928009016330821268e+01,6.869522450483129816e+00,-1.916809768287921045e+01
5.872786613189482807e+00,3.943242826127724587e+00,9.663465144889178404e+00,1.724588986162439053e+00,-3.042480711032459695e+01,6.800473147703923971e+00,-2.076134196543541321e+01
6.150985788580500824e+00,3.948163693291176113e+00,9.234104454586457678e+00,1.703534091974904241e+00,-3.159561365606490568e+01,6.725831452219067863e+00,-2.236150920147844445e+01
6.442363508721373755e+00,3.952665589489326781e+00,8.823183784726333911e+00,1.681301360368308018e+00,-3.279110624585579359e+01,6.645622032689404435e+00,-2.396792246112945790e+01
6.747544053110693163e+00,3.956782913960535719e+00,8.429992173331681826e+00,1.657886135831699637e+00,-3.400968188041811402e+01,6.559895535550922752e+00,-2.557968970708643042e+01
7.067181273927491070e+00,3.960547453132227780e+00,8.053835647686517163e+00,1.633292347665321609e+00,-3.524954148131688925e+01,6.468731847766246545e+00,-2.719570583363037386e+01
7.401959996915644879e+00,3.963988543469611159e+00,7.694038265274312671e+00,1.607533128861080796e+00,-3.650869680846777499e+01,6.372242906053182665e+00,-2.881465854319346676e+01
7.752597488629460187e+00,3.967133230452764447e+00,7.349942903989863829e+00,1.580631292714751668e+00,-3.778498107562893438e+01,6.270574926422201045e+00,-3.043503817163906788e+01
8.119844993184013759e+00,3.970006422473779217e+00,7.020911833375891753e+00,1.552619639029557463e+00,-3.907606329257679789e+01,6.163909938606264127e+00,-3.205515145920089992e+01
8.504489341802678126e+00,3.972631038762826083e+00,6.706327095685426620e+00,1.523541066101073760e+00,-4.037946623124400958e+01,6.052466528022932835e+00,-3.367313913555857852e+01
8.907354638610438968e+00,3.975028150717047293e+00,6.405590722744132215e+00,1.493448470781539861e+00,-4.169258777398199811e+01,5.936499713001947676e+00,-3.528699705123786856e+01
9.329304026284686913e+00,3.977217116225282290e+00,6.118124811915031991e+00,1.462404426575305783e+00,-4.301272526317657707e+01,5.816299916218925503e+00,-3.689460045126154597e+01
9.771241535346495866e+00,3.979215706760800497e+00,5.843371481969972692e+00,1.430480638523437653e+00,-4.433710234137556228e+01,5.692191025029683438e+00,-3.849373085940558781e+01
1.023411402105452694e+01,3.981040227158735068e+00,5.580792727358924843e+00,1.397757183064919806e+00,-4.566289765862443062e+01,5.564527573581520947e+00,-4.008210493126550489e+01
1.071891319205127502e+01,3.982705628110022378e+00,5.329870187242590873e+00,1.364321550490554813e+00,-4.698727473682343003e+01,5.433691117690524486e+00,-4.165740454958083205e+01
1.122667773510813660e+01,3.984225611493583674e+00,5.090104843714141403e+00,1.330267516374161518e+00,-4.830741222601800899e+01,5.300085908875895591e+00,-4.321730738230387203e+01
1.175849554052156876e+01,3.985612728737454091e+00,4.861016661876469414e+00,1.295693875845526977e+00,-4.962053376875599753e+01,5.164134004117097554e+00,-4.475951710687953522e+01
1.231550603292826196e+01,3.986878472450869015e+00,4.642144182853907175e+00,1.260703080229331974e+00,-5.092393670742323053e+01,5.026269970718825419e+00,-4.628179252456931181e+01
