t,S
-1.999999999997198463e-03,-3.223309296206961161e+00
-1.799999999997192734e-03,-2.541551351108742640e+00
-1.599999999997187006e-03,-1.698817661421892167e+00
-1.399999999997181277e-03,-7.480762795261047815e-01
-1.199999999997175548e-03,2.508052898740629755e-01
-9.999999999971698195e-04,1.234848428612951299e+00
-7.999999999971640907e-04,2.141953634940590767e+00
-5.999999999971583620e-04,2.914838605387560566e+00
-3.999999999971526332e-04,3.504673226101008510e+00
-1.999999999971469045e-04,3.874179694008780928e+00
2.858824288409778092e-15,4.000000000000000000e+00
2.000000000028645530e-04,3.874179694001625318e+00
4.000000000028702818e-04,3.504673226087149818e+00
6.000000000028760105e-04,2.914838605367873647e+00
8.000000000028817393e-04,2.141953634916319515e+00
1.000000000002887468e-03,1.234848428585630264e+00
1.200000000002893197e-03,2.508052898454173341e-01
1.400000000002898926e-03,-7.480762795542690302e-01
1.600000000002904654e-03,-1.698817661447800331e+00
1.800000000002910383e-03,-2.541551351130765468e+00
2.000000000002916112e-03,-3.223309296223714870e+00
2.200000000002921841e-03,-3.701368459366035424e+00
2.400000000002927569e-03,-3.945941263500120755e+00
2.600000000002933298e-03,-3.942040664285025642e+00
2.800000000002939027e-03,-3.690402505949984757e+00
3.000000000002944756e-03,-3.207408147135923482e+00
3.200000000002950484e-03,-2.524014213218377378e+00
3.400000000002956213e-03,-1.683759641760805614e+00
3.600000000002961942e-03,-7.399788822007223876e-01
3.800000000002967671e-03,2.475995616750551742e-01
4.000000000002973399e-03,1.216651303272166862e+00
4.200000000002979128e-03,2.106208288905574655e+00
4.400000000002984857e-03,2.860513237447876556e+00
4.600000000002990586e-03,3.432531453461767246e+00
4.800000000002996314e-03,3.786897760661524615e+00
5.000000000003002043e-03,3.902113032590190489e+00
5.200000000003007772e-03,3.771853262556240427e+00
5.400000000003013501e-03,3.405311171722646968e+00
5.600000000003019229e-03,2.826552318288559018e+00
5.800000000003024958e-03,2.072930555330786184e+00
6.000000000003030687e-03,1.192667458955249282e+00
6.200000000003036416e-03,2.417531958876791565e-01
6.400000000003042144e-03,-7.196311357519771246e-01
6.600000000003047873e-03,-1.630940059322797175e+00
6.800000000003053602e-03,-2.435094737364843276e+00
7.000000000003059331e-03,-3.082074913588773502e+00
7.200000000003065059e-03,-3.532044680163370476e+00
7.400000000003070788e-03,-3.757815837719293395e+00
7.600000000003076517e-03,-3.746495857909251104e+00
7.800000000003082246e-03,-3.500220243860418190e+00
8.000000000003087974e-03,-3.035927981620733629e+00
8.200000000003093703e-03,-2.384199980917939499e+00
8.400000000003099432e-03,-1.587239984194611209e+00
8.600000000003105161e-03,-6.961315734169085667e-01
8.800000000003110889e-03,2.324498103299913188e-01
9.000000000003116618e-03,1.139857344374503478e+00
9.200000000003122347e-03,1.969193520771697070e+00
9.400000000003128076e-03,2.668893960009765642e+00
9.600000000003133804e-03,3.195947593165784362e+00
9.800000000003139533e-03,3.518551226286661393e+00
